run	group	dataset	organism	gene	tissue	quant_dir	genotype	region	age	strain	line	celltype	srx	sample_dir	stratum	variant_class	dose	lesion_type	mutation
SRR34568245	NA	Nadav_SCN2A_N2a	mouse	SCN2A	Neuro2a	/data/mendel/izamamede/SCN1A_and_SCN2A/rawdata/3_SCN2A/salmon_quant	Mut_het	Neuro2a	NA	NA	NA	NA	NA	SRR34568245	Neuro2a	NA	NA	coding/structural	Scn2a+/- (het)
SRR34568246	NA	Nadav_SCN2A_N2a	mouse	SCN2A	Neuro2a	/data/mendel/izamamede/SCN1A_and_SCN2A/rawdata/3_SCN2A/salmon_quant	Mut_het	Neuro2a	NA	NA	NA	NA	NA	SRR34568246	Neuro2a	NA	NA	coding/structural	Scn2a+/- (het)
SRR34568247	NA	Nadav_SCN2A_N2a	mouse	SCN2A	Neuro2a	/data/mendel/izamamede/SCN1A_and_SCN2A/rawdata/3_SCN2A/salmon_quant	Mut_het	Neuro2a	NA	NA	NA	NA	NA	SRR34568247	Neuro2a	NA	NA	coding/structural	Scn2a+/- (het)
SRR34568248	NA	Nadav_SCN2A_N2a	mouse	SCN2A	Neuro2a	/data/mendel/izamamede/SCN1A_and_SCN2A/rawdata/3_SCN2A/salmon_quant	WT	Neuro2a	NA	NA	NA	NA	NA	SRR34568248	Neuro2a	NA	NA	coding/structural	WT
SRR34568249	NA	Nadav_SCN2A_N2a	mouse	SCN2A	Neuro2a	/data/mendel/izamamede/SCN1A_and_SCN2A/rawdata/3_SCN2A/salmon_quant	WT	Neuro2a	NA	NA	NA	NA	NA	SRR34568249	Neuro2a	NA	NA	coding/structural	WT
SRR34568250	NA	Nadav_SCN2A_N2a	mouse	SCN2A	Neuro2a	/data/mendel/izamamede/SCN1A_and_SCN2A/rawdata/3_SCN2A/salmon_quant	WT	Neuro2a	NA	NA	NA	NA	NA	SRR34568250	Neuro2a	NA	NA	coding/structural	WT
SRR15085148	WT	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	WT	cortex	NA	NA	NA	NA	NA	SRR15085148	cortex	WT	WT	WT	WT
SRR15085149	WT	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	WT	cortex	NA	NA	NA	NA	NA	SRR15085149	cortex	WT	WT	WT	WT
SRR15085150	WT	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	WT	cortex	NA	NA	NA	NA	NA	SRR15085150	cortex	WT	WT	WT	WT
SRR15085151	WT	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	WT	cortex	NA	NA	NA	NA	NA	SRR15085151	cortex	WT	WT	WT	WT
SRR15085152	Hom	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	Mut_hom	cortex	NA	NA	NA	NA	NA	SRR15085152	cortex	gene_trap	homozygous	coding/structural	Scn2a gene-trap (hom)
SRR15085153	Hom	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	Mut_hom	cortex	NA	NA	NA	NA	NA	SRR15085153	cortex	gene_trap	homozygous	coding/structural	Scn2a gene-trap (hom)
SRR15085154	Hom	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	Mut_hom	cortex	NA	NA	NA	NA	NA	SRR15085154	cortex	gene_trap	homozygous	coding/structural	Scn2a gene-trap (hom)
SRR15085155	Hom	Scn2a_gt_cortex	mouse	SCN2A	cortex	/home/izamamede/SCN1A_and_SCN2A/quant/10_SCN2A	Mut_hom	cortex	NA	NA	NA	NA	NA	SRR15085155	cortex	gene_trap	homozygous	coding/structural	Scn2a gene-trap (hom)
SRR14113833	WT_Cortex	Scn1a_ctx_hip_rescue	mouse	SCN1A	cortex_hippocampus	/home/izamamede/SCN1A_and_SCN2A/quant/11_SCN1A	WT	cortex	NA	NA	NA	NA	NA	SRR14113833	cortex	WT	WT	WT	WT
SRR14113834	WT_Cortex	Scn1a_ctx_hip_rescue	mouse	SCN1A	cortex_hippocampus	/home/izamamede/SCN1A_and_SCN2A/quant/11_SCN1A	WT	cortex	NA	NA	NA	NA	NA	SRR14113834	cortex	WT	WT	WT	WT
SRR14113835	WT_Cortex	Scn1a_ctx_hip_rescue	mouse	SCN1A	cortex_hippocampus	/home/izamamede/SCN1A_and_SCN2A/quant/11_SCN1A	WT	cortex	NA	NA	NA	NA	NA	SRR14113835	cortex	WT	WT	WT	WT
SRR14113836	WT_Cortex	Scn1a_ctx_hip_rescue	mouse	SCN1A	cortex_hippocampus	/home/izamamede/SCN1A_and_SCN2A/quant/11_SCN1A	WT	cortex	NA	NA	NA	NA	NA	SRR14113836	cortex	WT	WT	WT	WT
SRR14113837	WT_Hippocampus	Scn1a_ctx_hip_rescue	mouse	SCN1A	cortex_hippocampus	/home/izamamede/SCN1A_and_SCN2A/quant/11_SCN1A	WT	hippocampus	NA	NA	NA	NA	NA	SRR14113837	hippocampus	WT	WT	WT	WT
SRR14113838	WT_Hippocampus	Scn1a_ctx_hip_rescue	mouse	SCN1A	cortex_hippocampus	/home/izamamede/SCN1A_and_SCN2A/quant/11_SCN1A	WT	hippocampus	NA	NA	NA	NA	NA	SRR14113838	hippocampus	WT	WT	WT	WT
SRR14113839	WT_Hippocampus	Scn1a_ctx_hip_rescue	mouse	SCN1A	cortex_hippocampus	/home/izamamede/SCN1A_and_SCN2A/quant/11_SCN1A	WT	hippocampus	NA	NA	NA	NA	NA	SRR14113839	hippocampus	WT	WT	WT	WT
