dataset	pathway	direction	padj	source
Lima&Rossi2026_ASD16	GOBP_REGULATION_OF_TRANSPORT	up	1.77585858273546e-22	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_RESPONSE_TO_LIPID	up	9.66015431208381e-21	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	up	1.9882980667752798e-20	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_ORGANELLE_ASSEMBLY	up	1.16768990258662e-18	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_RESPONSE_TO_NITROGEN_COMPOUND	up	1.6171988139485099e-18	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	up	5.4646966158598997e-17	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_REGULATION_OF_IMMUNE_RESPONSE	up	6.7513479105847e-17	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_REGULATION_OF_LOCOMOTION	up	1.18158713426744e-16	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	up	3.03651107220148e-16	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_RRNA_METABOLIC_PROCESS	up	4.0128525483335198e-16	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_BLOOD_VESSEL_MORPHOGENESIS	up	2.3478385558800802e-15	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_REPRODUCTIVE_PROCESS	up	6.6488909435758304e-15	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_CELL_PROJECTION_ORGANIZATION	up	7.871978326514031e-15	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_CYTOSKELETON_ORGANIZATION	up	2.3574126847623e-14	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_GENERATION_OF_NEURONS	up	4.9793315417361905e-14	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_EPITHELIAL_CELL_DIFFERENTIATION	up	1.15545856971862e-13	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_ORGANELLE_FISSION	up	2.07079781664971e-13	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	up	2.07079781664971e-13	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	up	2.46531396254055e-13	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_REGULATION_OF_CATABOLIC_PROCESS	up	3.0156097841714e-13	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_CELL_ADHESION	up	1.0580638326744499e-12	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_RESPONSE_TO_GROWTH_FACTOR	up	1.93189113633706e-12	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	up	2.84119087827103e-12	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_RESPONSE_TO_PEPTIDE	up	3.1196910622709298e-12	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_LYMPHOCYTE_ACTIVATION	down	6.22954656981986e-12	GO_BP_RNA
Lima&Rossi2026_ASD16	GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION	up	1.58597878907581e-11	GO_BP_RNA
