cell	UMAP1	UMAP2	cell_type	cluster	genotype	Scn2a	dataset	organism	channel	expr	sample
01_01_21	7.5599128019012	-3.956138092687818	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_01_82	9.320158125082353	-0.671527463606092	Oligodendrocytes	5	cKO	0.7926920516144031	Bae2025	mouse	SCN2A	0.7926920516144031	PN36_1_cKO
01_01_86	-1.6123549927078695	6.783752482721117	Neurons	8	cKO	2.088361779232016	Bae2025	mouse	SCN2A	2.088361779232016	PN36_1_cKO
01_01_88	-2.1266176689468836	9.559361975976731	Neurons	8	cKO	1.8188170418770544	Bae2025	mouse	SCN2A	1.8188170418770544	PN36_1_cKO
01_02_02	-3.457662462075851	9.314977210351731	Neurons	8	cKO	1.148013686233329	Bae2025	mouse	SCN2A	1.148013686233329	PN36_1_cKO
01_02_42	-0.44624195788582305	8.869087737390307	Neurons	8	cKO	1.6866597437659954	Bae2025	mouse	SCN2A	1.6866597437659954	PN36_1_cKO
01_02_81	3.861088396231034	6.536970179864672	Neurons	9	cKO	0.9571390355052888	Bae2025	mouse	SCN2A	0.9571390355052888	PN36_1_cKO
01_03_60	-3.4058829534851527	9.648732703515796	Neurons	8	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_04_19	3.5331250440276647	5.80844978649309	Neurons	9	cKO	0.9447148563042724	Bae2025	mouse	SCN2A	0.9447148563042724	PN36_1_cKO
01_04_21	-2.046111701806686	7.31521658260515	Neurons	8	cKO	2.157161443931655	Bae2025	mouse	SCN2A	2.157161443931655	PN36_1_cKO
01_04_31	-5.643207906564376	-12.32739587467024	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_04_77	1.2154462348617103	8.60076860744646	Neurons	8	cKO	1.306111446219844	Bae2025	mouse	SCN2A	1.306111446219844	PN36_1_cKO
01_05_04	-2.8032704580627894	8.203666251489429	Neurons	8	cKO	1.4049556452783722	Bae2025	mouse	SCN2A	1.4049556452783722	PN36_1_cKO
01_05_55	-0.6486272949778054	7.792134326288012	Neurons	8	cKO	1.5573556218717006	Bae2025	mouse	SCN2A	1.5573556218717006	PN36_1_cKO
01_05_61	-3.622058032830856	8.937321227380542	Neurons	8	cKO	1.2655880571295717	Bae2025	mouse	SCN2A	1.2655880571295717	PN36_1_cKO
01_06_77	-0.3865565944515679	7.727790873834398	Neurons	8	cKO	1.1844019010729792	Bae2025	mouse	SCN2A	1.1844019010729792	PN36_1_cKO
01_07_05	2.8387886296905065	-2.5302834097654547	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_07_36	3.3102740060485387	-5.060132462194654	Oligodendrocytes	6	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_07_44	-1.7683595407806847	7.820875209161547	Neurons	8	cKO	1.5378834533590509	Bae2025	mouse	SCN2A	1.5378834533590509	PN36_1_cKO
01_07_79	-1.9745185364090416	7.653881114312914	Neurons	8	cKO	1.8015483881157932	Bae2025	mouse	SCN2A	1.8015483881157932	PN36_1_cKO
01_07_83	-6.165289281686446	-11.627280670812818	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_08_25	0.4279799472487952	5.0031137879579335	Neurons	8	cKO	1.3760622670903582	Bae2025	mouse	SCN2A	1.3760622670903582	PN36_1_cKO
01_08_63	-10.449732660134933	2.5712488110749994	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_08_65	1.1056238423980262	1.8616612370698724	Neurons	7	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_08_93	-0.9420366872154686	8.583001654931811	Neurons	8	cKO	0.6136161307572535	Bae2025	mouse	SCN2A	0.6136161307572535	PN36_1_cKO
01_09_08	8.411440015951493	-3.215525347402784	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_09_62	8.242255331198075	-1.473187047651502	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_09_75	-3.4251691091858363	7.610240023919848	Neurons	8	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_09_84	6.1742273580230265	-11.791004616430492	Endothelial cells	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_10_34	-3.685941575845382	8.834683936425952	Neurons	8	cKO	1.7647772093211231	Bae2025	mouse	SCN2A	1.7647772093211231	PN36_1_cKO
01_10_88	9.711485983053544	-0.732353228738996	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_11_29	-2.5372048605286097	8.518657248803882	Neurons	8	cKO	2.149943828349839	Bae2025	mouse	SCN2A	2.149943828349839	PN36_1_cKO
01_11_48	1.6505726586974647	-5.1548051420957774	Neurons	3	cKO	1.5467482324819124	Bae2025	mouse	SCN2A	1.5467482324819124	PN36_1_cKO
01_11_81	-2.514261363824508	6.856325190851	Neurons	8	cKO	1.5023039450069404	Bae2025	mouse	SCN2A	1.5023039450069404	PN36_1_cKO
01_12_04	9.20717251412044	-2.477065760305616	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_12_06	-2.8837529409729457	9.214788955041676	Neurons	8	cKO	2.1890883396603207	Bae2025	mouse	SCN2A	2.1890883396603207	PN36_1_cKO
01_12_22	-5.502170919259688	-11.421835381201	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_12_51	-0.6581876564823601	3.843588870355395	Neurons	7	cKO	1.283456407796294	Bae2025	mouse	SCN2A	1.283456407796294	PN36_1_cKO
01_12_71	-5.840490697702071	-12.72897763889143	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_13_42	-3.0717478979431605	8.157646697351245	Neurons	8	cKO	0.9528609090739664	Bae2025	mouse	SCN2A	0.9528609090739664	PN36_1_cKO
01_13_83	-3.765380500634811	-6.607046562841627	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_13_89	6.584138990560868	-4.110419232061598	Oligodendrocytes	6	cKO	1.1500746456757782	Bae2025	mouse	SCN2A	1.1500746456757782	PN36_1_cKO
01_14_19	9.204015852133134	-1.2179166857511723	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_14_38	9.655333639303544	-1.855386215856763	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_14_78	-1.547190069039962	8.576246779748706	Neurons	8	cKO	1.582370397963958	Bae2025	mouse	SCN2A	1.582370397963958	PN36_1_cKO
01_14_94	-0.6739605654083702	7.695589583703783	Neurons	8	cKO	1.8254556669494448	Bae2025	mouse	SCN2A	1.8254556669494448	PN36_1_cKO
01_15_16	-4.5803140390717	-11.086750466039868	Astrocytes	4	cKO	1.6602752017167202	Bae2025	mouse	SCN2A	1.6602752017167202	PN36_1_cKO
01_15_60	6.52790653816829	-4.890845257452223	Oligodendrocytes	6	cKO	1.257065284037428	Bae2025	mouse	SCN2A	1.257065284037428	PN36_1_cKO
01_15_74	1.409551740805009	4.251629393884447	Neurons	7	cKO	0.8397357028803993	Bae2025	mouse	SCN2A	0.8397357028803993	PN36_1_cKO
01_15_79	-3.8713294256531214	-6.64525123279402	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_16_01	0.42948031536708137	4.237642329522875	Neurons	7	cKO	1.4167432746427708	Bae2025	mouse	SCN2A	1.4167432746427708	PN36_1_cKO
01_16_85	9.760671735922196	-1.0980827395231452	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_16_96	0.06977731100688239	7.750632804223803	Neurons	8	cKO	1.5379643279276631	Bae2025	mouse	SCN2A	1.5379643279276631	PN36_1_cKO
01_17_28	-2.6157900083862757	10.066740554162768	Neurons	8	cKO	2.3248447239832775	Bae2025	mouse	SCN2A	2.3248447239832775	PN36_1_cKO
01_17_43	9.341159940878253	-2.6732835356504645	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_17_47	8.441643835226396	-3.4777149740965094	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_17_79	3.549553514639237	6.901743453332689	Neurons	9	cKO	1.161181393440569	Bae2025	mouse	SCN2A	1.161181393440569	PN36_1_cKO
01_17_83	-0.7299635399185631	3.826001208612231	Neurons	7	cKO	1.2852353431170105	Bae2025	mouse	SCN2A	1.2852353431170105	PN36_1_cKO
01_18_01	7.743433118978837	-3.6173419539243903	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_18_57	-2.170145748933456	4.808095496484545	Neurons	8	cKO	1.5013319413000643	Bae2025	mouse	SCN2A	1.5013319413000643	PN36_1_cKO
01_18_65	-3.186920284112594	6.46270422298601	Neurons	8	cKO	1.7383222971589063	Bae2025	mouse	SCN2A	1.7383222971589063	PN36_1_cKO
01_18_93	8.123632551351884	-1.6174495999128546	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_19_58	8.033583761373857	-2.1175380532057013	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_19_86	-10.772899507363936	0.4980032857148919	Neurons	4	cKO	2.645394722680276	Bae2025	mouse	SCN2A	2.645394722680276	PN36_1_cKO
01_20_21	-11.91421878226628	-0.8868317190916266	Fibroblasts	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_20_44	-5.570090173562667	-12.05054040592024	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_20_70	7.489523054281571	-4.281446415594313	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_20_75	-6.200741170724532	-12.003283936193675	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_21_35	-5.650033353646895	-12.124417740514966	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_21_43	1.001831413427689	8.471011679956225	Neurons	8	cKO	1.451940453703796	Bae2025	mouse	SCN2A	1.451940453703796	PN36_1_cKO
01_21_44	-5.803730367501876	-11.24945111911604	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_21_94	-1.16093361266484	7.784130614587572	Neurons	8	cKO	1.4771130351379187	Bae2025	mouse	SCN2A	1.4771130351379187	PN36_1_cKO
01_22_17	-1.539916275819442	7.760789912530687	Neurons	8	cKO	1.0386795900073809	Bae2025	mouse	SCN2A	1.0386795900073809	PN36_1_cKO
01_22_23	9.539031149069167	-1.979719955137464	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_22_35	-0.2564600396954034	7.083014529535082	Neurons	8	cKO	1.7344020640675883	Bae2025	mouse	SCN2A	1.7344020640675883	PN36_1_cKO
01_22_90	2.095402599493363	-0.28206222098180916	Neurons	7	cKO	1.8216810185251393	Bae2025	mouse	SCN2A	1.8216810185251393	PN36_1_cKO
01_23_10	8.086847425619462	-4.067680317571852	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
01_23_28	-3.20985996611943	6.514514487573412	Neurons	8	cKO	0.6840723500836513	Bae2025	mouse	SCN2A	0.6840723500836513	PN36_1_cKO
01_23_73	-2.9210823763214564	8.182636779138354	Neurons	8	cKO	1.92956415298411	Bae2025	mouse	SCN2A	1.92956415298411	PN36_1_cKO
01_23_81	-5.518541692575118	-11.449441391638013	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_1_cKO
