gene	tx	exon_n	start	end	x0	x1	gene_lo	gene_hi
SCN1A	ENST00000674923.1	1	166127771	166128020	0.9982490313416358	1	165985813	166128020
SCN1A	ENST00000674923.1	2	166126924	166127010	0.9922929251021398	0.9928976773295267	165985813	166128020
SCN1A	ENST00000674923.1	3	166077710	166077801	0.6462199469787001	0.6468598592193071	165985813	166128020
SCN1A	ENST00000674923.1	4	166073358	166073670	0.6156166714718685	0.6178106562968068	165985813	166128020
SCN1A	ENST00000674923.1	5	166058570	166058688	0.5116274163719086	0.5124571926839044	165985813	166128020
SCN1A	ENST00000674923.1	6	166056411	166056500	0.4964453226634413	0.49707117089876024	165985813	166128020
SCN1A	ENST00000674923.1	7	166054638	166054766	0.48397758197557084	0.484877678314007	165985813	166128020
SCN1A	ENST00000674923.1	8	166052852	166052943	0.4714184252533279	0.4720583374939349	165985813	166128020
SCN1A	ENST00000674923.1	9	166051719	166051988	0.4634511662576385	0.4653427749688834	165985813	166128020
SCN1A	ENST00000674923.1	10	166048886	166048949	0.443529502767093	0.4439725189336671	165985813	166128020
SCN1A	ENST00000674923.1	11	166047627	166047768	0.4346762114382555	0.43566772381106417	165985813	166128020
SCN1A	ENST00000674923.1	12	166046770	166046976	0.4286497851723192	0.43009837771699	165985813	166128020
SCN1A	ENST00000674923.1	13	166045043	166045327	0.41650551660607427	0.41850260535697964	165985813	166128020
SCN1A	ENST00000674923.1	14	166043669	166044049	0.40684354497317293	0.40951570597790543	165985813	166128020
SCN1A	ENST00000674923.1	15	166042292	166042424	0.3971604773323395	0.39808870168135185	165985813	166128020
SCN1A	ENST00000674923.1	16	166041231	166041469	0.38969952252702045	0.39137313915630034	165985813	166128020
SCN1A	ENST00000674923.1	17	166039423	166039596	0.3769856617466088	0.3782021982040265	165985813	166128020
SCN1A	ENST00000674923.1	18	166037776	166038132	0.36540395339188647	0.36790734633316224	165985813	166128020
SCN1A	ENST00000674923.1	19	166036048	166036530	0.35325265282299745	0.3566420780974214	165985813	166128020
SCN1A	ENST00000674923.1	20	166015607	166015727	0.20951148677631903	0.210355327093603	165985813	166128020
SCN1A	ENST00000674923.1	21	166013744	166013898	0.19641086585048556	0.19749379425766664	165985813	166128020
SCN1A	ENST00000674923.1	22	166012109	166012282	0.18491354152749162	0.18613007798490933	165985813	166128020
SCN1A	ENST00000674923.1	23	166009719	166009841	0.16810705520825275	0.16896495953082477	165985813	166128020
SCN1A	ENST00000674923.1	24	166002472	166002753	0.11714613204694566	0.11912212478991892	165985813	166128020
SCN1A	ENST00000674923.1	25	165999723	165999776	0.09781515677849895	0.0981878529186327	165985813	166128020
SCN1A	ENST00000674923.1	26	165998038	165998175	0.08596623232330336	0.08692961668553588	165985813	166128020
SCN1A	ENST00000674923.1	27	165996013	165996117	0.07172642696913654	0.07245775524411598	165985813	166128020
SCN1A	ENST00000674923.1	28	165994146	165994416	0.05859767803272694	0.060496318746615846	165985813	166128020
SCN1A	ENST00000674923.1	29	165985813	165992422	0	0.046474505474414056	165985813	166128020
SCN2A	ENST00000375437.7	1	165239414	165239640	0	0.0014781869317810191	165239414	165392304
SCN2A	ENST00000375437.7	2	165295773	165296090	0.3686245012754268	0.3706978873700046	165239414	165392304
SCN2A	ENST00000375437.7	3	165297017	165297135	0.376761070050363	0.37753286676695663	165239414	165392304
SCN2A	ENST00000375437.7	4	165307848	165307937	0.4476028517234613	0.44818496958597687	165239414	165392304
SCN2A	ENST00000375437.7	5	165308666	165308794	0.4529531035384917	0.45379030675649157	165239414	165392304
SCN2A	ENST00000375437.7	6	165309352	165309443	0.4574399895349598	0.45803518869775656	165239414	165392304
SCN2A	ENST00000375437.7	7	165310323	165310595	0.46379096082150567	0.46557001765975536	165239414	165392304
SCN2A	ENST00000375437.7	8	165312025	165312088	0.4749231473608477	0.475335208319707	165239414	165392304
SCN2A	ENST00000375437.7	9	165313620	165313761	0.4853554843351429	0.4862777160049709	165239414	165392304
SCN2A	ENST00000375437.7	10	165313902	165314108	0.48719994767479885	0.4885473216037674	165239414	165392304
SCN2A	ENST00000375437.7	11	165315471	165315758	0.4974622277454379	0.499339394335797	165239414	165392304
SCN2A	ENST00000375437.7	12	165323156	165323500	0.5477271240761332	0.5499771077245078	165239414	165392304
SCN2A	ENST00000375437.7	13	165326852	165326984	0.5719013669958793	0.5727647328144417	165239414	165392304
SCN2A	ENST00000375437.7	14	165331330	165331568	0.6011903983255935	0.602747073059062	165239414	165392304
SCN2A	ENST00000375437.7	15	165342296	165342469	0.6729151677676761	0.6740467002420041	165239414	165392304
SCN2A	ENST00000375437.7	16	165344555	165344911	0.6876904964353456	0.6900189678854078	165239414	165392304
SCN2A	ENST00000375437.7	17	165354192	165354671	0.750722741840539	0.7538557132578978	165239414	165392304
SCN2A	ENST00000375437.7	18	165365143	165365263	0.8223494015305122	0.823134279547387	165239414	165392304
SCN2A	ENST00000375437.7	19	165367217	165367371	0.8359147099221662	0.8369219700438224	165239414	165392304
SCN2A	ENST00000375437.7	20	165370126	165370299	0.8549414611812414	0.8560729936555693	165239414	165392304
SCN2A	ENST00000375437.7	21	165373225	165373347	0.8752109359670351	0.8760088952841912	165239414	165392304
SCN2A	ENST00000375437.7	22	165374685	165374966	0.8847602851723462	0.8865982078618615	165239414	165392304
SCN2A	ENST00000375437.7	23	165377597	165377650	0.9038066583818432	0.9041533128392962	165239414	165392304
SCN2A	ENST00000375437.7	24	165380592	165380729	0.923395905553012	0.9242919746222774	165239414	165392304
SCN2A	ENST00000375437.7	25	165381093	165381197	0.9266727712734646	0.9273529988880895	165239414	165392304
SCN2A	ENST00000375437.7	26	165386746	165387016	0.9636470665184119	0.9654130420563805	165239414	165392304
SCN2A	ENST00000375437.7	27	165388629	165392304	0.9759631107332069	1	165239414	165392304
